,Gramercy ,Soho,Upper East,Upper West,West Village
,,,,,
1,252.2392876,669.8281949,950.9602649,443.794326,758.5714286
2,254.9,680.2380952,969.052101,446.389446,768.5891938
3,265.4748603,701.1554622,972.15,457.275494,858.75
4,270.3637336,704.0476752,975.7752302,479.368719,861.2121212
5,280.5029054,723.9067524,1010.659091,550.784127,865.8
6,321.2374582,736.92,1013.503436,563.023256,964.9209486
7,329.1643454,762.0454545,1034.28,629.142857,1012.148438
8,343.4782609,838.4549356,1116.864477,718.482693,1164.526316
9,344.4075672,907.3524746,1227.605974,899.105876,1184.13
10,352.173913,960.6392557,1388.769231,1001.5873,1305.56962
11,354.0985714,1027.976879,1402.5,1032.39533,1362.15
12,360.7574961,1195.766129,1636.029412,1044.31487,1416.25239
13,368.1674842,1250,1656.706204,1098.13502,1474.262735
14,382.9846154,1275.049967,2074.562937,1167.917,2078.775
15,395.2894737,1370.082645,2107.690465,1222.5,2130.580866
16,407.1622847,1424.103103,2407.5,6767.2524,2387.266684
17,807.1234867,1516,2535.695693,7562.99094,5400
18,6928.461538,1917.1875,2612.593985,9236.77591,10547.66355
19,9613.125,4479.818182,2769.539275,10410.6618,17366.625
20,40696.875,7393.5,9525.375,49693.3025,23541.6798
,,,,,
Median,353.1362422,994.3080672,1395.634615,1016.991315,1333.85981
,,,,,
Max,40696.875,7393.5,9525.375,49693.3025,23541.6798
,,,,,
Min,252.2392876,669.8281949,950.9602649,443.794326,758.5714286
,,,,,
Q1,325.2009018,730.4133762,1012.081264,556.9036915,915.3604743
,,,,,
Q3,401.2258792,1397.092874,2257.595232,3994.8762,2258.923775